id,status,credit_history,purpose,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker
891.0,1.0,4.0,1.0,1.0,4.0,4.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
518.0,4.0,2.0,3.0,5.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
306.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
593.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0
315.0,4.0,2.0,1.0,5.0,5.0,4.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0
41.0,1.0,2.0,10.0,1.0,5.0,4.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0
399.0,2.0,2.0,0.0,1.0,4.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
697.0,4.0,2.0,3.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
279.0,3.0,2.0,3.0,2.0,5.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
218.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0
405.0,2.0,2.0,10.0,5.0,1.0,3.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0
918.0,1.0,0.0,1.0,1.0,5.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0
226.0,1.0,2.0,0.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0
138.0,2.0,4.0,8.0,5.0,4.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
480.0,4.0,2.0,5.0,5.0,5.0,4.0,3.0,1.0,4.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,2.0
766.0,2.0,4.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
712.0,4.0,4.0,9.0,5.0,5.0,4.0,3.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
557.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0
63.0,4.0,3.0,0.0,1.0,5.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0
535.0,2.0,2.0,3.0,1.0,5.0,4.0,2.0,1.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0
382.0,4.0,4.0,0.0,5.0,5.0,2.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,4.0,2.0,2.0,2.0
219.0,4.0,2.0,0.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0
276.0,4.0,2.0,3.0,1.0,5.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0
359.0,4.0,4.0,0.0,5.0,5.0,1.0,2.0,1.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0
803.0,2.0,2.0,0.0,5.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
363.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0
19.0,4.0,4.0,0.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
975.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
708.0,1.0,1.0,9.0,1.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0
61.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0
520.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0
471.0,4.0,2.0,3.0,5.0,5.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
925.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0
430.0,4.0,4.0,3.0,1.0,4.0,4.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0
778.0,2.0,4.0,3.0,1.0,3.0,4.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
232.0,4.0,2.0,1.0,2.0,5.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0
211.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0
929.0,2.0,0.0,9.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0
25.0,2.0,3.0,3.0,1.0,4.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
28.0,4.0,2.0,0.0,5.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
776.0,2.0,3.0,2.0,1.0,5.0,4.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0
83.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0
205.0,2.0,2.0,9.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0
640.0,1.0,4.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
665.0,2.0,2.0,3.0,1.0,3.0,4.0,2.0,3.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
490.0,4.0,2.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
117.0,4.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0
685.0,4.0,4.0,2.0,1.0,4.0,4.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
840.0,1.0,2.0,6.0,5.0,5.0,4.0,3.0,1.0,4.0,4.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0
606.0,2.0,3.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0
771.0,1.0,2.0,0.0,1.0,2.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0
673.0,2.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0
567.0,4.0,4.0,0.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
615.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0
848.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0
278.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
257.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0
42.0,4.0,4.0,0.0,1.0,3.0,4.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
453.0,2.0,4.0,6.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0
108.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0
239.0,4.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
509.0,1.0,2.0,0.0,2.0,5.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0
235.0,1.0,2.0,3.0,1.0,5.0,4.0,2.0,1.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
649.0,2.0,2.0,9.0,2.0,3.0,4.0,3.0,1.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
225.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
604.0,1.0,2.0,2.0,1.0,5.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0
45.0,1.0,2.0,0.0,1.0,2.0,4.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0
92.0,2.0,0.0,9.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
788.0,2.0,0.0,9.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
389.0,1.0,2.0,1.0,5.0,5.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0
324.0,4.0,2.0,0.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0
181.0,4.0,4.0,0.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
248.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0
895.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0
579.0,1.0,2.0,3.0,5.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0
629.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,1.0,2.0
208.0,2.0,1.0,0.0,5.0,1.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0
728.0,4.0,4.0,1.0,5.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0
320.0,4.0,2.0,0.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
360.0,4.0,4.0,0.0,1.0,5.0,4.0,3.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
586.0,1.0,4.0,0.0,1.0,5.0,2.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0
311.0,4.0,4.0,1.0,5.0,5.0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0
528.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0
431.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0
583.0,1.0,2.0,4.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
238.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0
819.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0
54.0,4.0,2.0,1.0,5.0,5.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0
817.0,1.0,2.0,0.0,1.0,4.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
966.0,4.0,3.0,9.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0
166.0,4.0,4.0,3.0,1.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
948.0,1.0,1.0,0.0,1.0,4.0,4.0,3.0,1.0,4.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0
829.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
34.0,1.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
630.0,1.0,4.0,2.0,1.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0
200.0,4.0,2.0,3.0,3.0,5.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0
758.0,2.0,2.0,0.0,1.0,3.0,4.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0
428.0,1.0,2.0,6.0,5.0,3.0,4.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0
180.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0
120.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0
29.0,3.0,4.0,1.0,1.0,5.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0
897.0,4.0,2.0,0.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0
119.0,4.0,2.0,2.0,3.0,5.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0
262.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
827.0,1.0,4.0,0.0,1.0,5.0,3.0,3.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0
582.0,4.0,2.0,3.0,2.0,5.0,2.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
416.0,4.0,4.0,3.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0
826.0,2.0,0.0,9.0,2.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0
658.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0
351.0,4.0,2.0,0.0,4.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0
688.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0
707.0,2.0,4.0,0.0,5.0,5.0,4.0,3.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
481.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0
251.0,2.0,3.0,5.0,1.0,3.0,2.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0
645.0,1.0,2.0,10.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,1.0,2.0
334.0,4.0,3.0,0.0,5.0,5.0,4.0,4.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
830.0,2.0,0.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0
670.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0
207.0,2.0,2.0,3.0,5.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
340.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0
308.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0
804.0,1.0,2.0,0.0,5.0,3.0,4.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
718.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0
639.0,1.0,4.0,1.0,1.0,5.0,4.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
443.0,4.0,2.0,3.0,5.0,3.0,4.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0
51.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0
945.0,2.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0
84.0,4.0,4.0,2.0,5.0,5.0,4.0,3.0,1.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
429.0,2.0,2.0,0.0,5.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0
530.0,4.0,4.0,3.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0
548.0,2.0,2.0,0.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
135.0,4.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
753.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0
348.0,1.0,4.0,0.0,1.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
711.0,1.0,4.0,5.0,1.0,1.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0
679.0,2.0,2.0,3.0,1.0,4.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0
149.0,2.0,4.0,3.0,1.0,5.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
432.0,2.0,4.0,9.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0
17.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0
878.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0
79.0,4.0,2.0,3.0,5.0,5.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
193.0,4.0,2.0,0.0,5.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
885.0,2.0,2.0,0.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
902.0,2.0,3.0,0.0,1.0,5.0,4.0,3.0,1.0,4.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0
491.0,4.0,4.0,2.0,1.0,5.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0
96.0,2.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0
125.0,4.0,4.0,3.0,1.0,2.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
341.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0
36.0,4.0,4.0,0.0,1.0,5.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0
222.0,4.0,3.0,1.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
789.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0
797.0,3.0,4.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0
261.0,4.0,4.0,0.0,1.0,2.0,4.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0
162.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0
619.0,2.0,4.0,0.0,1.0,4.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0
980.0,2.0,2.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0
464.0,2.0,2.0,0.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0
300.0,1.0,1.0,8.0,1.0,5.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0
661.0,2.0,2.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
39.0,4.0,4.0,1.0,1.0,5.0,4.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0
741.0,4.0,2.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0
564.0,4.0,3.0,9.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0
493.0,4.0,4.0,3.0,1.0,5.0,4.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
312.0,4.0,4.0,0.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0
886.0,1.0,2.0,0.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
244.0,4.0,1.0,3.0,3.0,5.0,2.0,3.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0
77.0,4.0,4.0,0.0,4.0,5.0,4.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0
344.0,4.0,4.0,0.0,2.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
562.0,2.0,2.0,0.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,2.0
441.0,4.0,3.0,9.0,1.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
325.0,4.0,4.0,0.0,4.0,5.0,4.0,2.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
669.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
6.0,1.0,4.0,0.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0
179.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0
868.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0
724.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0
436.0,4.0,4.0,6.0,2.0,3.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
247.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0
